last name,county,votes,state,total votes,percent votes,fips
Biden,Wharton,606,TX,966,0.627329193,48481
Sanders,Wharton,360,TX,966,0.372670807,48481
Sanders,Webb,9446,TX,14818,0.637467944,48479
Biden,Webb,5372,TX,14818,0.362532056,48479
Biden,Washington,670,TX,992,0.675403226,48477
Sanders,Washington,322,TX,992,0.324596774,48477
Biden,Ward,112,TX,210,0.533333333,48475
Sanders,Ward,98,TX,210,0.466666667,48475
Biden,Waller,1004,TX,1867,0.537761114,48473
Sanders,Waller,863,TX,1867,0.462238886,48473
Biden,Walker,1159,TX,1847,0.627504061,48471
Sanders,Walker,688,TX,1847,0.372495939,48471
Biden,Victoria,1759,TX,2729,0.644558446,48469
Sanders,Victoria,970,TX,2729,0.355441554,48469
Biden,Van Zandt,870,TX,1321,0.658591976,48467
Sanders,Van Zandt,451,TX,1321,0.341408024,48467
Sanders,Val Verde,850,TX,1676,0.507159905,48465
Biden,Val Verde,826,TX,1676,0.492840095,48465
Sanders,Uvalde,632,TX,1258,0.502384738,48463
Biden,Uvalde,626,TX,1258,0.497615262,48463
Sanders,Upton,28,TX,47,0.595744681,48461
Biden,Upton,19,TX,47,0.404255319,48461
Biden,Upshur,705,TX,959,0.735140772,48459
Sanders,Upshur,254,TX,959,0.264859228,48459
Biden,Tyler,300,TX,403,0.744416873,48457
Sanders,Tyler,103,TX,403,0.255583127,48457
Biden,Trinity,65,TX,111,0.585585586,48455
Sanders,Trinity,46,TX,111,0.414414414,48455
Sanders,Travis,83803,TX,136534,0.613788507,48453
Biden,Travis,52731,TX,136534,0.386211493,48453
Biden,Tom Green,1747,TX,3039,0.574860151,48451
Sanders,Tom Green,1292,TX,3039,0.425139849,48451
Biden,Titus,432,TX,636,0.679245283,48449
Sanders,Titus,204,TX,636,0.320754717,48449
Biden,Throckmorton,18,TX,22,0.818181818,48447
Sanders,Throckmorton,4,TX,22,0.181818182,48447
Biden,Terry,75,TX,138,0.543478261,48445
Sanders,Terry,63,TX,138,0.456521739,48445
Biden,Terrell,36,TX,59,0.610169492,48443
Sanders,Terrell,23,TX,59,0.389830508,48443
Biden,Taylor,1925,TX,3305,0.582450832,48441
Sanders,Taylor,1380,TX,3305,0.417549168,48441
Biden,Tarrant,58320,TX,105379,0.553430949,48439
Sanders,Tarrant,47059,TX,105379,0.446569051,48439
Biden,Swisher,94,TX,117,0.803418803,48437
Sanders,Swisher,23,TX,117,0.196581197,48437
Biden,Sutton,28,TX,48,0.583333333,48435
Sanders,Sutton,20,TX,48,0.416666667,48435
Biden,Stonewall,35,TX,41,0.853658537,48433
Sanders,Stonewall,6,TX,41,0.146341463,48433
Sanders,Sterling,13,TX,18,0.722222222,48431
Biden,Sterling,5,TX,18,0.277777778,48431
Biden,Stephens,69,TX,93,0.741935484,48429
Sanders,Stephens,24,TX,93,0.258064516,48429
Sanders,Starr,3159,TX,4207,0.750891372,48427
Biden,Starr,1048,TX,4207,0.249108628,48427
Biden,Somervell,94,TX,187,0.502673797,48425
Sanders,Somervell,93,TX,187,0.497326203,48425
Biden,Smith,5338,TX,7953,0.67119326,48423
Sanders,Smith,2615,TX,7953,0.32880674,48423
Biden,Sherman,18,TX,28,0.642857143,48421
Sanders,Sherman,10,TX,28,0.357142857,48421
Biden,Shelby,261,TX,341,0.765395894,48419
Sanders,Shelby,80,TX,341,0.234604106,48419
Biden,Shackelford,27,TX,40,0.675,48417
Sanders,Shackelford,13,TX,40,0.325,48417
Biden,Scurry,98,TX,175,0.56,48415
Sanders,Scurry,77,TX,175,0.44,48415
Biden,Schleicher,45,TX,74,0.608108108,48413
Sanders,Schleicher,29,TX,74,0.391891892,48413
Biden,San Saba,49,TX,73,0.671232877,48411
Sanders,San Saba,24,TX,73,0.328767123,48411
Biden,San Patricio,1810,TX,2881,0.628254078,48409
Sanders,San Patricio,1071,TX,2881,0.371745922,48409
Biden,San Jacinto,456,TX,625,0.7296,48407
Sanders,San Jacinto,169,TX,625,0.2704,48407
Biden,San Augustine,274,TX,341,0.803519062,48405
Sanders,San Augustine,67,TX,341,0.196480938,48405
Biden,Sabine,167,TX,213,0.784037559,48403
Sanders,Sabine,46,TX,213,0.215962441,48403
Biden,Rusk,1016,TX,1298,0.782742681,48401
Sanders,Rusk,282,TX,1298,0.217257319,48401
Biden,Runnels,76,TX,104,0.730769231,48399
Sanders,Runnels,28,TX,104,0.269230769,48399
Biden,Rockwall,2393,TX,3894,0.614535182,48397
Sanders,Rockwall,1501,TX,3894,0.385464818,48397
Biden,Robertson,475,TX,633,0.750394945,48395
Sanders,Robertson,158,TX,633,0.249605055,48395
Biden,Roberts,1,TX,1,1,48393
Sanders,Roberts,0,TX,1,0,48393
Biden,Refugio,158,TX,225,0.702222222,48391
Sanders,Refugio,67,TX,225,0.297777778,48391
Biden,Reeves,328,TX,638,0.514106583,48389
Sanders,Reeves,310,TX,638,0.485893417,48389
Biden,Red River,272,TX,386,0.704663212,48387
Sanders,Red River,114,TX,386,0.295336788,48387
Biden,Real,47,TX,86,0.546511628,48385
Sanders,Real,39,TX,86,0.453488372,48385
Biden,Reagan,9,TX,16,0.5625,48383
Sanders,Reagan,7,TX,16,0.4375,48383
Biden,Randall,1581,TX,2988,0.529116466,48381
Sanders,Randall,1407,TX,2988,0.470883534,48381
Biden,Rains,176,TX,245,0.718367347,48379
Sanders,Rains,69,TX,245,0.281632653,48379
Sanders,Presidio,415,TX,588,0.705782313,48377
Biden,Presidio,173,TX,588,0.294217687,48377
Biden,Potter,1206,TX,2258,0.534100974,48375
Sanders,Potter,1052,TX,2258,0.465899026,48375
Biden,Polk,559,TX,884,0.632352941,48373
Sanders,Polk,325,TX,884,0.367647059,48373
Biden,Pecos,222,TX,440,0.504545455,48371
Sanders,Pecos,218,TX,440,0.495454545,48371
Biden,Parmer,48,TX,79,0.607594937,48369
Sanders,Parmer,31,TX,79,0.392405063,48369
Biden,Parker,2045,TX,3389,0.603422839,48367
Sanders,Parker,1344,TX,3389,0.396577161,48367
Biden,Panola,493,TX,622,0.792604502,48365
Sanders,Panola,129,TX,622,0.207395498,48365
Biden,Palo Pinto,342,TX,546,0.626373626,48363
Sanders,Palo Pinto,204,TX,546,0.373626374,48363
Biden,Orange,1148,TX,1721,0.667054038,48361
Sanders,Orange,573,TX,1721,0.332945962,48361
Biden,Oldham,16,TX,25,0.64,48359
Sanders,Oldham,9,TX,25,0.36,48359
Biden,Ochiltree,32,TX,53,0.603773585,48357
Sanders,Ochiltree,21,TX,53,0.396226415,48357
Biden,Nueces,8559,TX,14214,0.602152807,48355
Sanders,Nueces,5655,TX,14214,0.397847193,48355
Biden,Nolan,170,TX,277,0.613718412,48353
Sanders,Nolan,107,TX,277,0.386281588,48353
Biden,Newton,196,TX,257,0.762645914,48351
Sanders,Newton,61,TX,257,0.237354086,48351
Biden,Navarro,889,TX,1311,0.678108314,48349
Sanders,Navarro,422,TX,1311,0.321891686,48349
Biden,Nacogdoches,1365,TX,2347,0.581593524,48347
Sanders,Nacogdoches,982,TX,2347,0.418406476,48347
Biden,Motley,8,TX,10,0.8,48345
Sanders,Motley,2,TX,10,0.2,48345
Biden,Morris,412,TX,547,0.753199269,48343
Sanders,Morris,135,TX,547,0.246800731,48343
Biden,Moore,119,TX,196,0.607142857,48341
Sanders,Moore,77,TX,196,0.392857143,48341
Biden,Montgomery,9932,TX,16390,0.605979256,48339
Sanders,Montgomery,6458,TX,16390,0.394020744,48339
Biden,Montague,212,TX,324,0.654320988,48337
Sanders,Montague,112,TX,324,0.345679012,48337
Biden,Mitchell,69,TX,94,0.734042553,48335
Sanders,Mitchell,25,TX,94,0.265957447,48335
Sanders,Mills,32,TX,62,0.516129032,48333
Biden,Mills,30,TX,62,0.483870968,48333
Biden,Milam,428,TX,698,0.613180516,48331
Sanders,Milam,270,TX,698,0.386819484,48331
Biden,Midland,1495,TX,2486,0.601367659,48329
Sanders,Midland,991,TX,2486,0.398632341,48329
Biden,Menard,26,TX,44,0.590909091,48327
Sanders,Menard,18,TX,44,0.409090909,48327
Biden,Medina,874,TX,1432,0.610335196,48325
Sanders,Medina,558,TX,1432,0.389664804,48325
Biden,McMullen,8,TX,8,1,48311
Sanders,McMullen,0,TX,8,0,48311
Biden,McLennan,5359,TX,8438,0.635103105,48309
Sanders,McLennan,3079,TX,8438,0.364896895,48309
Biden,McCulloch,69,TX,100,0.69,48307
Sanders,McCulloch,31,TX,100,0.31,48307
Sanders,Maverick,2704,TX,3854,0.701608718,48323
Biden,Maverick,1150,TX,3854,0.298391282,48323
Biden,Matagorda,676,TX,971,0.696189495,48321
Sanders,Matagorda,295,TX,971,0.303810505,48321
Biden,Mason,118,TX,171,0.69005848,48319
