,last name,county,votes,state,winner
477,Steyer,Greene,12,IA,0.0
455,Sanders,Fremont,75,IA,1.0
456,Biden,Fremont,68,IA,0.0
459,Klobuchar,Fremont,60,IA,0.0
458,Warren,Fremont,15,IA,0.0
464,Steyer,Fremont,0,IA,0.0
442,Sanders,Franklin,128,IA,1.0
443,Biden,Franklin,100,IA,0.0
446,Klobuchar,Franklin,89,IA,0.0
445,Warren,Franklin,39,IA,0.0
451,Steyer,Franklin,11,IA,0.0
433,Klobuchar,Floyd,233,IA,1.0
430,Biden,Floyd,222,IA,0.0
429,Sanders,Floyd,156,IA,0.0
432,Warren,Floyd,156,IA,0.0
438,Steyer,Floyd,0,IA,0.0
417,Biden,Fayette,276,IA,1.0
416,Sanders,Fayette,180,IA,0.0
419,Warren,Fayette,144,IA,0.0
420,Klobuchar,Fayette,132,IA,0.0
425,Steyer,Fayette,36,IA,0.0
403,Sanders,Emmet,80,IA,1.0
404,Biden,Emmet,69,IA,0.0
407,Klobuchar,Emmet,57,IA,0.0
406,Warren,Emmet,46,IA,0.0
412,Steyer,Emmet,34,IA,0.0
391,Biden,Dubuque,1707,IA,1.0
390,Sanders,Dubuque,1653,IA,0.0
393,Warren,Dubuque,1093,IA,0.0
394,Klobuchar,Dubuque,613,IA,0.0
399,Steyer,Dubuque,0,IA,0.0
378,Biden,Dickinson,225,IA,1.0
377,Sanders,Dickinson,200,IA,0.0
381,Klobuchar,Dickinson,188,IA,0.0
380,Warren,Dickinson,100,IA,0.0
386,Steyer,Dickinson,0,IA,0.0
364,Sanders,Des Moines,648,IA,1.0
365,Biden,Des Moines,504,IA,0.0
367,Warren,Des Moines,360,IA,0.0
368,Klobuchar,Des Moines,144,IA,0.0
373,Steyer,Des Moines,0,IA,0.0
355,Klobuchar,Delaware,218,IA,1.0
354,Warren,Delaware,195,IA,0.0
352,Biden,Delaware,188,IA,0.0
351,Sanders,Delaware,38,IA,0.0
360,Steyer,Delaware,15,IA,0.0
338,Sanders,Decatur,89,IA,1.0
341,Warren,Decatur,75,IA,0.0
342,Klobuchar,Decatur,56,IA,0.0
339,Biden,Decatur,52,IA,0.0
347,Steyer,Decatur,0,IA,0.0
326,Biden,Davis,84,IA,1.0
328,Warren,Davis,39,IA,0.0
329,Klobuchar,Davis,39,IA,0.0
325,Sanders,Davis,36,IA,0.0
334,Steyer,Davis,0,IA,0.0
313,Biden,Dallas,1160,IA,1.0
315,Warren,Dallas,1119,IA,0.0
312,Sanders,Dallas,829,IA,0.0
316,Klobuchar,Dallas,704,IA,0.0
321,Steyer,Dallas,0,IA,0.0
300,Biden,Crawford,240,IA,1.0
299,Sanders,Crawford,150,IA,0.0
303,Klobuchar,Crawford,75,IA,0.0
302,Warren,Crawford,30,IA,0.0
308,Steyer,Crawford,0,IA,0.0
286,Sanders,Clinton,775,IA,1.0
287,Biden,Clinton,775,IA,0.0
290,Klobuchar,Clinton,332,IA,0.0
289,Warren,Clinton,310,IA,0.0
295,Steyer,Clinton,0,IA,0.0
277,Klobuchar,Clayton,233,IA,1.0
273,Sanders,Clayton,183,IA,0.0
274,Biden,Clayton,167,IA,0.0
276,Warren,Clayton,33,IA,0.0
282,Steyer,Clayton,0,IA,0.0
261,Biden,Clay,216,IA,1.0
260,Sanders,Clay,160,IA,0.0
264,Klobuchar,Clay,141,IA,0.0
263,Warren,Clay,66,IA,0.0
269,Steyer,Clay,0,IA,0.0
247,Sanders,Clarke,88,IA,1.0
251,Klobuchar,Clarke,88,IA,0.0
248,Biden,Clarke,56,IA,0.0
250,Warren,Clarke,32,IA,0.0
256,Steyer,Clarke,0,IA,0.0
235,Biden,Chickasaw,154,IA,1.0
237,Warren,Chickasaw,119,IA,0.0
238,Klobuchar,Chickasaw,105,IA,0.0
234,Sanders,Chickasaw,49,IA,0.0
243,Steyer,Chickasaw,35,IA,0.0
221,Sanders,Cherokee,164,IA,1.0
222,Biden,Cherokee,153,IA,0.0
225,Klobuchar,Cherokee,76,IA,0.0
